Date,currency,strength
14/2/16,BTC-USD,16.66666667
15/2/16,BTC-USD,
16/2/16,BTC-USD,16.66666667
17/2/16,BTC-USD,
18/2/16,BTC-USD,
19/2/16,BTC-USD,
20/2/16,BTC-USD,
21/2/16,BTC-USD,16.66666667
22/2/16,BTC-USD,
23/2/16,BTC-USD,
24/2/16,BTC-USD,
25/2/16,BTC-USD,
26/2/16,BTC-USD,
27/2/16,BTC-USD,
28/2/16,BTC-USD,
29/2/16,BTC-USD,
1/3/16,BTC-USD,
2/3/16,BTC-USD,
3/3/16,BTC-USD,
4/3/16,BTC-USD,
5/3/16,BTC-USD,
6/3/16,BTC-USD,
7/3/16,BTC-USD,
8/3/16,BTC-USD,
9/3/16,BTC-USD,
10/3/16,BTC-USD,16.66666667
11/3/16,BTC-USD,
12/3/16,BTC-USD,
13/3/16,BTC-USD,
14/3/16,BTC-USD,
15/3/16,BTC-USD,
16/3/16,BTC-USD,
17/3/16,BTC-USD,
18/3/16,BTC-USD,
19/3/16,BTC-USD,
20/3/16,BTC-USD,
21/3/16,BTC-USD,
22/3/16,BTC-USD,
23/3/16,BTC-USD,
24/3/16,BTC-USD,
25/3/16,BTC-USD,
26/3/16,BTC-USD,
27/3/16,BTC-USD,
28/3/16,BTC-USD,16.66666667
29/3/16,BTC-USD,16.66666667
30/3/16,BTC-USD,
31/3/16,BTC-USD,
1/4/16,BTC-USD,37.5607069
2/4/16,BTC-USD,
3/4/16,BTC-USD,
4/4/16,BTC-USD,
5/4/16,BTC-USD,
6/4/16,BTC-USD,23.92679747
7/4/16,BTC-USD,23.21405236
8/4/16,BTC-USD,26.77777791
9/4/16,BTC-USD,
10/4/16,BTC-USD,24.70833356
11/4/16,BTC-USD,16.66666667
12/4/16,BTC-USD,
13/4/16,BTC-USD,
14/4/16,BTC-USD,
15/4/16,BTC-USD,
16/4/16,BTC-USD,
17/4/16,BTC-USD,
18/4/16,BTC-USD,
19/4/16,BTC-USD,37.96052682
20/4/16,BTC-USD,
21/4/16,BTC-USD,
22/4/16,BTC-USD,
23/4/16,BTC-USD,
24/4/16,BTC-USD,
25/4/16,BTC-USD,
26/4/16,BTC-USD,
27/4/16,BTC-USD,
28/4/16,BTC-USD,
29/4/16,BTC-USD,
30/4/16,BTC-USD,
1/5/16,BTC-USD,
2/5/16,BTC-USD,34.74243672
3/5/16,BTC-USD,27.7906921
4/5/16,BTC-USD,41.56565676
5/5/16,BTC-USD,32.1692424
6/5/16,BTC-USD,41.39258457
7/5/16,BTC-USD,46.2318845
8/5/16,BTC-USD,
9/5/16,BTC-USD,41.56565676
10/5/16,BTC-USD,
11/5/16,BTC-USD,
12/5/16,BTC-USD,
13/5/16,BTC-USD,26.1764707
14/5/16,BTC-USD,
15/5/16,BTC-USD,26.1764707
16/5/16,BTC-USD,
17/5/16,BTC-USD,
18/5/16,BTC-USD,
19/5/16,BTC-USD,26.77777791
20/5/16,BTC-USD,
21/5/16,BTC-USD,
22/5/16,BTC-USD,
23/5/16,BTC-USD,29.70188517
24/5/16,BTC-USD,34.57142878
25/5/16,BTC-USD,
26/5/16,BTC-USD,
27/5/16,BTC-USD,
28/5/16,BTC-USD,
29/5/16,BTC-USD,
30/5/16,BTC-USD,33.23774541
31/5/16,BTC-USD,32.74509821
1/6/16,BTC-USD,
2/6/16,BTC-USD,
3/6/16,BTC-USD,
4/6/16,BTC-USD,
5/6/16,BTC-USD,
6/6/16,BTC-USD,41.21951239
7/6/16,BTC-USD,
8/6/16,BTC-USD,
9/6/16,BTC-USD,
10/6/16,BTC-USD,
11/6/16,BTC-USD,
12/6/16,BTC-USD,
13/6/16,BTC-USD,
14/6/16,BTC-USD,16.66666667
15/6/16,BTC-USD,
16/6/16,BTC-USD,
17/6/16,BTC-USD,
18/6/16,BTC-USD,
19/6/16,BTC-USD,
20/6/16,BTC-USD,
21/6/16,BTC-USD,27.11368678
22/6/16,BTC-USD,
23/6/16,BTC-USD,
24/6/16,BTC-USD,32.74509793
25/6/16,BTC-USD,
26/6/16,BTC-USD,
27/6/16,BTC-USD,
28/6/16,BTC-USD,
29/6/16,BTC-USD,
30/6/16,BTC-USD,16.66666667
1/7/16,BTC-USD,
2/7/16,BTC-USD,
3/7/16,BTC-USD,
