,customer_id,time_duration,event_day_2020/10/27,event_day_2020/10/28,event_day_2020/10/29,event_day_2020/10/30,event_day_2020/10/31,event_day_2020/11/1,gender_woman,age_10's,age_20's,age_30's,age_40's,age_50's,age_60's,age_Over70's,area1_max_time_duration,area2_max_time_duration,area3_max_time_duration,area4_max_time_duration,area5_max_time_duration,buy_flag
84,20201026-020019,18.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,10.4,0.0,0.0,1
85,20201026-020022,63.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26.4,0.0,0.0,0.0,0.0,1
86,20201026-020024,70.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,26.2,0.0,0.0,1
87,20201026-020028,13.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,6.2,0.0,0.0,1
88,20201026-020034,18.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,9.8,0.0,0.0,0.0,1
89,20201026-020035,8.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,7.2,1
90,20201026-020038,58.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20.4,0.0,16.6,0
91,20201026-020042,74.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,21.2,0.0,0.0,34.4,1
92,20201026-020043,18.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,5.2,0.0,0.0,0.0,1
93,20201026-020046,115.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,37.8,0.0,39.4,0.0,27.0,1
94,20201026-020053,8.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8.0,0.0,0.0,0.0,0.0,1
95,20201026-020057,24.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16.2,0.0,0.0,0.0,0.0,1
96,20201026-020060,12.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.4,0.0,0.0,0.0,0.0,1
97,20201026-020063,75.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,31.4,1
98,20201026-020071,59.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,50.4,0.0,0.0,0.0,0.0,1
99,20201026-020077,94.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,48.2,0.0,0.0,0.0,32.6,1
100,20201026-020084,70.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,48.4,0.0,0.0,0.0,13.4,1
101,20201026-020085,43.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,33.8,1
102,20201026-020091,18.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,10.8,0.0,1
103,20201026-020092,125.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,33.2,0.0,0.0,1
104,20201026-020095,26.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16.6,0.0,0.0,0.0,0.0,1
105,20201026-020098,8.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.2,0.0,0.0,0.0,0.0,1
106,20201026-020102,62.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49.4,0.0,0.0,0.0,0.0,1
107,20201026-020103,59.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,24.0,0.0,0.0,0.0,0.0,1
108,20201026-020109,16.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.6,0.0,0.0,0.0,0.0,1
109,20201026-020114,36.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,16.2,1
110,20201026-020117,42.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15.6,0.0,19.2,0.0,0.0,1
111,20201026-020132,39.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25.8,0.0,0.0,0.0,0.0,1
112,20201026-020133,23.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.4,0.0,0.0,0.0,0.0,1
113,20201026-020139,8.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.8,1
114,20201026-020142,15.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,8.8,1
115,20201026-020144,20.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,11.0,0.0,0.0,0.0,1
116,20201026-020148,20.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.6,0.0,0.0,0.0,0.0,1
117,20201026-020151,15.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,4.4,0.0,0.0,0.0,1
118,20201026-020153,56.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,35.4,0.0,0.0,0.0,1
119,20201026-020154,49.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,13.2,1
120,20201026-020155,49.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,28.4,12.2,0.0,1
121,20201026-020156,18.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,17.2,1
122,20201026-020158,67.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,7.2,26.4,0.0,0.0,1
123,20201026-020161,35.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,29.6,0.0,0.0,1
124,20201026-020163,23.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6.6,0.0,8.4,0.0,0.0,1
125,20201026-020172,33.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9.4,0.0,0.0,13.4,0.0,1
126,20201026-020174,18.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.4,0.0,3.6,0.0,0.0,1
127,20201026-020176,32.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,21.2,0.0,1
128,20201026-020180,47.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23.2,12.8,0.0,0.0,0.0,1
129,20201026-020183,18.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14.2,0.0,0.0,0.0,0.0,1
130,20201026-020185,45.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,0.0,0.0,0.0,21.6,1
131,20201026-020186,216.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,54.0,0.0,0.0,0.0,0
132,20201026-020190,21.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,10.4,0.0,0.0,1
133,20201026-020191,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.6,0.0,0.0,0.0,0.0,1
134,20201026-020193,22.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,9.0,0.0,0.0,0.0,1
